study_ID,author_first,year,extracted,ecotype,family,species,species_iucn,species_phylo,origin,method,empty_bladder,mean_mass_g,dors_SA_cm2,vent_SA_cm2,D,lat,lon,skin_temp,t_skin_est,trt_temp,airflow_ml_s,airflow_cm_s,RH_perc,es_kPa,ea_kPa,VPD_kPa,duration_min,hydration,strategy,strategy2,days_cocoon,trait,response,trait_unit,mean,sd,se,sample_size,unit_corrected_mean,unit_corrected_sd,unit,r_s_mean,r_s_sd,r_s_se,pv_skin_g_ml_min,pv_air_g_ml_min,r_t,rw,Cp,p,r_b,r_s_est,Gr,v,calculated,notes,title,ref,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella icterica,Rhinella icterica,Rhinella_icterica,wild,water vapour,yes,91.394,112.8590883,,0.539870323,-23.5558,-46.6396,,22.84999967,25,10,0.064935065,20,3.258157936,0.651631587,2.606526349,20,,,,,water loss,,s cm,,,,6,,,s cm,1.156015,0.4334315,0.1769477,,,,,,,,,,,no,,Skin and poison glands in toads (Rhinella) and their role in defence and water balance,https://onlinelibrary.wiley.com/doi/full/10.1111/azo.12390,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella jimi,Rhinella jimi,Rhinella_jimi,wild,water vapour,yes,225.785,208.221415,,0.722899625,-5.661944,-36.604722,,22.84999967,25,10,0.064935065,20,3.258157936,0.651631587,2.606526349,20,,,,,water loss,,s cm,,,,6,,,s cm,2.650376,1.3703764,0.5594538,,,,,,,,,,,no,,,,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella icterica,Rhinella icterica,Rhinella_icterica,wild,mass change,yes,91.394,,56.42954415,,-23.5558,-46.6396,,22.84999967,25,,,,,,,12,70,,,,water gain,water uptake,g h,51.93182,4.057889,1.43468,8,71.91071736,25.4242706,mg cm h,,,,,,,,,,,,,,,at 0 kPa,,,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella jimi,Rhinella jimi,Rhinella_jimi,wild,mass change,yes,225.785,,104.1107075,,-5.661944,-36.604722,,22.84999967,25,,,,,,,12,70,,,,water gain,water uptake,g h,66.74242,6.672772,2.359181,8,64.09304249,22.6603109,mg cm h,,,,,,,,,,,,,,,at 0 kPa,,,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia alba,Geocrinia alba,Geocrinia_alba,wild,chemical desiccant,yes,1.35,8.042994456,,0.111898511,-34.09025,115.10904,,16.54999983,18,0,0,25,2.105029946,0.526257487,1.57877246,120,,,,,water loss,evaporative water loss,mg min,1.163095,0.10706493,0.0338569,10,8.676564532,0.798692948,mg cm h,,,,1.56979E-05,1.56979E-05,4.884920485,3.2475E-06,1.004842733,1.212432018,0,4.884920485,624.5587687,0.125264064,yes,,Low desiccation and thermal tolerance constrains a terrestrial amphibian to a rare and disappearing microclimate niche,https://academic.oup.com/conphys/article/9/1/coab027/6257591?login=false,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia vitellina,Geocrinia vitellina,Geocrinia_vitellina,wild,chemical desiccant,yes,1.49,8.596502238,,0.115550757,-34.09025,115.10904,,16.54999983,18,0,0,25,2.105029946,0.526257487,1.57877246,120,,,,,water loss,evaporative water loss,mg min,1.214762,0.08437221,0.02668084,10,8.478515123,0.588881656,mg cm h,,,,1.56979E-05,1.56979E-05,4.999027213,3.2475E-06,1.004842733,1.212432018,0,4.999027213,624.5588019,0.125264064,yes,,,,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia alba,Geocrinia alba,Geocrinia_alba,wild,mass change,yes,1.35,,4.021497228,,-34.09025,115.10904,,16.54999983,18,,,,,,,120,90,,,,water gain,water uptake,mg min,0.7473469,0.1361693,0.04306053,10,11.15025618,2.031616882,mg cm h,,,,,,,,,,,,,,,at 0 Kpa,,,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia vitellina,Geocrinia vitellina,Geocrinia_vitellina,wild,mass change,yes,1.49,,4.298251119,,-34.09025,115.10904,,16.54999983,18,,,,,,,120,90,,,,water gain,water uptake,mg min,0.7818594,0.2256197,0.07520657,10,10.91408317,3.1494565,mg cm h,,,,,,,,,,,,,,,at 0 Kpa,,,,
6,Young,2005,Table 2,Fossorial,Hylidae,Cyclorana australis,Litoria australis,Cyclorana_australis,wild,water vapour,no,30.5,85.70628927,,0.237244118,-12.43206045,130.9447719,23,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,5.2,0.4,,14,5.2,0.4,mg cm h,5.4,1.6,,,,,,,,,5.4,,,no,,Comparative Analysis of Cutaneous Evaporative Water Loss in Frogs Demonstrates Correlation with Ecological Habits,https://www.journals.uchicago.edu/doi/full/10.1086/432152?casa_token=p4s6ag7WxPwAAAAA%3ApVrI8Ghs2hcfi6hdWPbb5j6-JdcmtKZg_qzelbFNUx0XCva9bZ8N_My-s7JOnvJtduQ4DtlV-Unx,,
6,Young,2005,Table 2,Fossorial,Hylidae,Cyclorana longipes,Litoria longicrus,Cyclorana_longipes,wild,water vapour,no,7.41,28.68871859,,0.172192949,-12.43206045,130.9447719,20.3,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.3,0.7,,12,6.3,0.7,mg cm h,3.5,1.4,,,,,,,,,3.5,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria bicolor,Litoria bicolor,Litoria_bicolor,wild,water vapour,no,0.62,4.210384308,,0.098169879,-12.43206045,130.9447719,24.2,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,water-proof,water-proof,,water loss,evaporative water loss,mg cm h,1.6,0.76,,31,1.6,0.76,mg cm h,63.1,51.5,,,,,,,,,63.1,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria caerulea,Litoria caerulea,Litoria_caerulea,wild,water vapour,no,28.2,80.66301519,,0.233068168,-12.43206045,130.9447719,22.3,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,3.4,0.7,,28,3.4,0.7,mg cm h,14.3,4.6,,,,,,,,,14.3,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria coplandi,Litoria coplandi,Litoria_coplandi,wild,water vapour,no,3.79,17.07985563,,0.147932406,-13.3320218,131.1388545,19.8,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,3.8,0.5,,15,3.8,0.5,mg cm h,9.6,2.6,,,,,,,,,9.6,,,no,,,,,
6,Young,2005,Table 2,Semi-aquatic,Hylidae,Litoria dahlii,Litoria dahlii,Litoria_dahlii,wild,water vapour,no,15.3,50.2649886,,0.202924343,-12.43206045,130.9447719,20.7,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.4,1.1,,24,6.4,1.1,mg cm h,2.3,2,,,,,,,,,2.3,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria gilleni,Litoria gilleni,Litoria_gilleni,lab,water vapour,no,28,80.22015631,,0.23269274,-12.43206045,130.9447719,21,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,2.4,0.17,,2,2.4,0.17,mg cm h,11.5,3.2,,,,,,,,,11.5,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Hylidae,Litoria inermis,Litoria inermis,Litoria_inermis,wild,water vapour,no,2.11,10.8577352,,0.129554206,-12.43206045,130.9447719,22.1,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,7.7,1.5,,10,7.7,1.5,mg cm h,1.4,1.1,,,,,,,,,1.4,,,no,,,,,
6,Young,2005,Table 2,Semi-aquatic,Hylidae,Litoria meiriana,Litoria meiriana,Litoria_meiriana,wild,water vapour,no,0.87,5.471733142,,0.105999215,-13.3320218,131.1388545,22.1,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,9.7,0.5,,9,9.7,0.5,mg cm h,0.6,0.7,,,,,,,,,0.6,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Hylidae,Litoria microbelos,Litoria microbelos,Litoria_microbelos,wild,water vapour,no,0.23,1.955254292,,0.078421094,-12.43206045,130.9447719,20.9,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,14.8,2.8,,9,14.8,2.8,mg cm h,-0.1,0.8,,,,,,,,,-0.1,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Hylidae,Litoria nasuta,Litoria nasuta,Litoria_nasuta,wild,water vapour,no,4.45,19.33807477,,0.153410499,-12.43206045,130.9447719,21.3,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.1,0.8,,18,6.1,0.8,mg cm h,4.7,1.5,,,,,,,,,4.7,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Hylidae,Litoria pallida,Litoria pallida,Litoria_pallida,wild,water vapour,no,3.02,14.32821656,,0.140515137,-12.43206045,130.9447719,20.8,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,4.8,0.67,,17,4.8,0.67,mg cm h,6.1,2.5,,,,,,,,,6.1,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria rothii,Litoria rothii,Litoria_rothii,wild,water vapour,no,4.36,19.0348547,,0.152702177,-12.43206045,130.9447719,22.6,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,3.3,0.61,,47,3.3,0.61,mg cm h,16.2,4.7,,,,,,,,,16.2,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria rubella,Litoria rubella,Litoria_rubella,wild,water vapour,no,2.94,14.03374002,,0.139663271,-23.70167122,133.8834776,21.6,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,3.6,0.7,,45,3.6,0.7,mg cm h,13.1,3.5,,,,,,,,,13.1,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria splendida,Litoria splendida,Litoria_splendida,lab,water vapour,no,41.6,108.9620983,,0.254522499,-12.43206045,130.9447719,22,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,3,0.18,,6,3,0.18,mg cm h,10.2,2.6,,,,,,,,,10.2,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Hylidae,Litoria tornieri,Litoria tornieri,Litoria_tornieri,wild,water vapour,no,2.66,12.988312,,0.136532874,-12.43206045,130.9447719,22.3,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.7,1.6,,19,6.7,1.6,mg cm h,5.5,1.3,,,,,,,,,5.5,,,no,,,,,
6,Young,2005,Table 2,Arboreal,Hylidae,Litoria watjulumensis,Litoria watjulumensis,Litoria_watjulumensis,wild,water vapour,no,8.99,33.31500541,,0.179898735,-12.43206045,130.9447719,21.3,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,4.4,0.52,,23,4.4,0.52,mg cm h,8.3,2.9,,,,,,,,,8.3,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Bufonidae,Bufo marinus,Rhinella marina,Rhinella_marina,wild,water vapour,no,40.3,64.82098981,,0.414474384,-14.4568294,132.2675714,20.9,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,5.6,0.4,,7,5.6,0.4,mg cm h,1.7,0.7,,,,,,,,,1.7,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Microhylidae,Austrochaperina adelphe,Austrochaperina adelphe,Austrochaperina_adelphe,wild,water vapour,no,0.39,3.480813222,,0.074695114,-12.43206045,130.9447719,20.6,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,14.9,4,,12,14.9,4,mg cm h,0.1,0.7,,,,,,,,,0.1,,,no,,,,,
6,Young,2005,Table 2,Semi-aquatic,Limnodynastidae,Limnodynastes convexiusculus,Limnodynastes convexiusculus,Limnodynastes_convexiusculus,wild,water vapour,no,11.7,34.51429496,,0.225993091,-12.43206045,130.9447719,20.2,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.6,0.6,,10,6.6,0.6,mg cm h,2.7,1,,,,,,,,,2.7,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Limnodynastidae,Limnodynastes ornatus,Platyplectrum ornatum,Platyplectrum_ornatum,wild,water vapour,no,6.49,23.19352136,,0.18654616,-12.43206045,130.9447719,21,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.6,0.7,,12,6.6,0.7,mg cm h,3.1,1.3,,,,,,,,,3.1,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Myobatrachidae,Notaden melanoscaphus,Notaden melanoscaphus,Notaden_melanoscaphus,wild,water vapour,no,16.5,43.52117007,,0.252750305,-12.43206045,130.9447719,20.8,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,6.5,0.6,,6,6.5,0.6,mg cm h,2,0.7,,,,,,,,,2,,,no,,,,,
6,Young,2005,Table 2,Semi-aquatic,Myobatrachidae,Crinia bilingua,Crinia bilingua,Crinia_bilingua,wild,water vapour,no,0.3,2.916257904,,0.068580971,-12.43206045,130.9447719,19.6,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,13.1,1.9,,12,13.1,1.9,mg cm h,0.1,0.5,,,,,,,,,0.1,,,no,,,,,
6,Young,2005,Table 2,Ground-dwelling,Myobatrachidae,Uperoleia lithomoda,Uperoleia lithomoda,Uperoleia_lithomoda,wild,water vapour,no,1.27,7.718328387,,0.109695491,-12.43206045,130.9447719,19.5,21.94999969,24,,0.25,1,3.06490764,0.030649076,3.034258563,20,,,,,water loss,evaporative water loss,mg cm h,9.2,1.5,,10,9.2,1.5,mg cm h,-0.4,0.7,,,,,,,,,-0.4,,,no,,,,,
7,Carey,1978,Table 2,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,water vapour,yes,34.5,58.34641441,,0.394196923,40.37439328,-105.5616969,7.45,9.160999949,9.79,,60.8,69,1.226845042,0.846523079,0.380321963,30,,,,,water loss,evaporative water loss,mg g h,11.79,2.229035666,0.91,6,6.971379546,1.318019818,mg cm h,,,,9.41446E-06,9.41446E-06,1.507095876,5.22385E-06,1.004844396,1.247612858,0.801982743,0.705113133,,,yes,B. boreas boreas,Factors Affecting Body Temperatures of Toads,https://link.springer.com/content/pdf/10.1007/BF00344732.pdf,,
7,Carey,1978,Table 2,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,water vapour,yes,34.5,58.34641441,,0.394196923,40.37439328,-105.5616969,16.65,18.32299979,19.97,,60.8,69,2.385422857,1.645941771,0.739481086,30,,,,,water loss,evaporative water loss,mg g h,21.74,3.184336666,1.3,6,12.8547745,1.882885454,mg cm h,,,,1.76693E-05,1.76693E-05,1.533980038,1.01571E-05,1.004848548,1.204283508,0.774133238,0.7598468,,,yes,,,,,
7,Carey,1978,Table 2,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,water vapour,yes,34.5,58.34641441,,0.394196923,40.37439328,-105.5616969,25.11,26.84599954,29.44,,60.8,69,4.253588823,2.934976288,1.318612535,30,,,,,water loss,evaporative water loss,mg g h,34.53,4.654030511,1.9,6,20.41745002,2.751909509,mg cm h,,,,3.05212E-05,3.05212E-05,1.668259782,1.8112E-05,1.004855242,1.166593681,0.749910593,0.918349188,,,yes,,,,,
7,Carey,1978,Table 2,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,water vapour,yes,41.2,65.79781559,,0.417439986,34.18645705,-118.1756923,7.34,9.250999948,9.89,,60.8,69,1.235171984,0.852268669,0.382903315,30,,,,,water loss,evaporative water loss,mg g h,9.55,0.979795897,0.4,6,5.979833775,0.613509591,mg cm h,,,,9.47501E-06,9.47501E-06,1.768295133,5.25931E-06,1.004844426,1.247172067,0.832879541,0.935415592,,,yes,B. boreas halophilus,,,,
7,Carey,1978,Table 2,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,water vapour,yes,41.2,65.79781559,,0.417439986,34.18645705,-118.1756923,16.72,18.70999978,20.4,,60.8,69,2.450881398,1.691108164,0.759773233,30,,,,,water loss,evaporative water loss,mg g h,27.2,4.164132563,1.7,6,17.03156845,2.607415764,mg cm h,,,,1.81276E-05,1.81276E-05,1.187817756,1.04358E-05,1.004848782,1.202519441,0.803063353,0.384754403,,,yes,,,,,
7,Carey,1978,Table 2,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,water vapour,yes,41.2,65.79781559,,0.417439986,34.18645705,-118.1756923,25.09,26.85499954,29.45,,60.8,69,4.256106087,2.9367132,1.319392887,30,,,,,water loss,evaporative water loss,mg g h,38.57,7.103520254,2.9,6,24.15101452,4.447944538,mg cm h,,,,3.05382E-05,3.05382E-05,1.411147427,1.81227E-05,1.004855251,1.166555129,0.779050776,0.632096651,,,yes,,,,,
8,Seebacher,2002,Fig 2,Ground-dwelling,Bufonidae,Bufo marinus,Rhinella marina,Rhinella_marina,wild,mass change,no,90.32831,111.9662198,,0.537830188,-18.66388889,146.5,,21.94999969,24,200,2.183195378,30,3.06490764,0.919472292,2.145435348,45,,,,,water loss,evaporative water loss,mg h,870.028396,292.9569974,,7,7.770454315,2.616476629,mg cm h,,,,2.23945E-05,2.23945E-05,7.26266209,5.67402E-06,1.004844775,1.187950806,2.843613272,4.419048818,,,yes,,Shelter Microhabitats Determine Body Temperature and Dehydration Rates of a Terrestrial Amphibian (Bufo marinus),https://www.jstor.org/stable/pdf/1565804.pdf?casa_token=3ytvkVTeKl4AAAAA:NZNJU1cq1eWoWLkvhqrWYRPMuzm6qI7yIVtgzH_yzG6lLKzPTVofXdZ0Bf9Z8lLQcfEO7sWxUi6b4GEsu1KhP4HRj7GY8LLPit6W_8BhRZuvbJyBNfgplA,,
9,Zegada-Herbas,2021,Fig 2,Arboreal,Hemiphractidae,Gastrotheca marsupiata,Gastrotheca marsupiata,Gastrotheca_marsupiata,wild,mass change,yes,0.991692168,6.532265834,,0.101209514,-16.714667,-68.090611,,33.64999927,37,,0,1,6.580705472,0.065807055,6.514898417,45,,,,,water loss,evaporative water loss,mg h,127.8763532,103.0912176,,10,19.5761098,15.78184664,mg cm h,,,,4.60681E-05,4.60681E-05,8.387103901,4.06089E-07,1.004840342,1.138157607,7.925458219,0.461645682,455.3832993,0.1466981,yes,,Water loss by evaporation in Gastrotheca marsupiata and Pleurodema cinereum in a dry high Andean valley,http://www.scielo.org.mx/scielo.php?pid=S1870-34532021000100314&script=sci_abstract&tlng=en,,
9,Zegada-Herbas,2021,Fig 2,Ground-dwelling,Leptodactylidae,Pleurodema cinereum,Pleurodema cinereum,Pleurodema_cinereum,wild,mass change,yes,2.575856457,10.86558762,,0.158043539,-16.48244699,-68.10614197,,33.64999927,37,,0,1,6.580705472,0.065807055,6.514898417,45,,,,,water loss,evaporative water loss,mg h,274.1650558,314.1455055,,36,25.23241867,28.91196653,mg cm h,,,,4.60681E-05,4.60681E-05,6.506980922,4.06089E-07,1.004840342,1.138157607,5.075384795,1.431596127,455.3832993,0.1466981,yes,,,,,
10,Kosmala,2020,Table 2,Ground-dwelling,Bufonidae,Bufo marinus,Rhinella marina,Rhinella_marina,wild,water vapour,yes,110.2,128.1057009,,0.573484183,-2.5043,-54.9546,,22.84999967,25,16.6667,2.554126939,0.048,3.258157936,0.001563916,3.25659402,20,,,,,water loss,evaporative water loss,mg min,7.2,1.4,17,17,3.37220852,0.655707212,mg cm h,2.9,2.1,,,,,,,,,2.9,,,no,,Skin resistance to water gain and loss has changed in cane toads (Rhinella marina) during their Australian invasion,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.6895,,
10,Kosmala,2020,Table 2,Ground-dwelling,Bufonidae,Bufo marinus,Rhinella marina,Rhinella_marina,wild,water vapour,yes,76.6,100.1388971,,0.509957839,-3.119,-60.0217,,22.84999967,25,16.6667,2.554126939,0.048,3.258157936,0.001563916,3.25659402,20,,,,,water loss,evaporative water loss,mg min,5.9,0.8,13,13,3.535082793,0.47933326,mg cm h,2.8,2.1,,,,,,,,,2.8,,,no,,,,,
10,Kosmala,2020,Table 2,Ground-dwelling,Bufonidae,Bufo marinus,Rhinella marina,Rhinella_marina,wild,water vapour,yes,104.1,123.259589,,0.563038796,19.7216,-155.0849,,22.84999967,25,16.6667,2.554126939,0.048,3.258157936,0.001563916,3.25659402,20,,,,,water loss,evaporative water loss,mg min,10,1.5,11,11,4.867765705,0.730164856,mg cm h,3.3,1,,,,,,,,,3.3,,,no,,,,,
